OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ,TSPOP10_CY,TSPOP11_CY,TSPOP12_CY,TSPOP13_CY,TSPOP14_CY,TSPOP15_CY,TSPOP16_CY,TSPOP17_CY,TSPOP18_CY
147,Arcadia Rose,6,NEIGHBORHOODS,26,US,147,BlockApportionment:US.BlockGroups,2.191,2.576,1,389,363,230,6264.1,0.54,389,209,1.74,370,365,362,358,355,355,365,376,385
148,Saguaro Canyon,4,NEIGHBORHOODS,27,US,148,BlockApportionment:US.BlockGroups,2.191,2.576,1,644,644,572,5210.4,-0.07,644,229,2.81,528,545,558,566,576,586,596,608,624
149,Barrio Nopal,1,NEIGHBORHOODS,28,US,149,BlockApportionment:US.BlockGroups,2.191,2.576,1,6018,6018,5299,6200.9,0.7,6018,1745,3.45,5653,5692,5747,5834,5924,5937,5916,5915,5975
150,Santiago Hills,1,NEIGHBORHOODS,29,US,150,BlockApportionment:US.BlockGroups,2.191,2.576,1,905,889,646,3271.9,0.11,905,426,2.09,915,958,979,969,959,936,919,909,906
151,Coronado Heights,3,NEIGHBORHOODS,0,US,151,BlockApportionment:US.BlockGroups,2.191,2.576,1,1611,1611,1064,9226.8,-0.28,1611,682,2.36,1645,1640,1638,1652,1631,1598,1596,1595,1618
152,Harold Bell Wright Estates,2,NEIGHBORHOODS,1,US,152,BlockApportionment:US.BlockGroups,2.191,2.576,1,979,913,591,4067.3,1.97,979,483,1.89,902,905,912,909,955,1047,1047,1007,936
153,Carriage Park,2,NEIGHBORHOODS,2,US,153,BlockApportionment:US.BlockGroups,2.191,2.576,1,7262,7223,4440,7255.5,0.47,7262,3827,1.89,6985,7086,7198,7246,7292,7299,7273,7209,7186
154,Copper Vista,5,NEIGHBORHOODS,3,US,154,BlockApportionment:US.BlockGroups,2.191,2.576,1,2401,2394,2109,9933.8,0.31,2401,714,3.35,2328,2295,2298,2270,2283,2301,2375,2399,2402
155,West Lamar City Acres,5,NEIGHBORHOODS,4,US,155,BlockApportionment:US.BlockGroups,2.191,2.576,1,379,379,327,2521.6,-0.36,379,121,3.13,390,381,376,373,378,379,378,374,375
156,Loma Verde,6,NEIGHBORHOODS,5,US,156,BlockApportionment:US.BlockGroups,2.191,2.576,1,488,480,349,4939.3,-0.26,488,233,2.06,486,489,482,478,465,468,473,478,483
157,Downtown,1,NEIGHBORHOODS,6,US,157,BlockApportionment:US.BlockGroups,2.191,2.576,1,152,141,25,448.2,2.41,152,111,1.27,125,137,143,145,144,145,148,151,152
158,Barrio Santa Cruz,1,NEIGHBORHOODS,7,US,158,BlockApportionment:US.BlockGroups,2.191,2.576,1,214,145,105,1363.1,0.68,214,64,2.27,197,195,198,206,209,215,215,214,213
159,Bonanza,2,NEIGHBORHOODS,8,US,159,BlockApportionment:US.BlockGroups,2.191,2.576,1,5123,5103,3796,5100,0.16,5123,2319,2.2,5053,5096,5117,5146,5146,5166,5133,5091,5076
